L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,Group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8103971239988823,,,,,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
A060.jpg,F041.jpg,5 Points,5 Points,5 Points,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.279285333999724,p,1.2676709580000534,49.66199987500022,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
O161.jpg,1812.jpg,2 Points,2 Points,7 Points,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84288066699992,p,0.1669132079987321,54.132695834000515,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
O013.jpg,A001.jpg,3 Points,3 Points,10 Points,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.319815584000025,p,0.4429179579992706,58.91617879200021,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
P036.jpg,F273.jpg,5 Points,5 Points,15 Points,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.070155542000066,p,0.3639774999992369,63.57946566700048,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
L130.jpg,2393.jpg,0 Points,0 Points,15 Points,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7254353340004,p,0.3348689579988786,68.1754921669999,0,0.9521292079998602,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
F279.jpg,P033.jpg,3 Points,3 Points,18 Points,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3909653339997,p,0.2886477499996545,73.82466695899984,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
A104.jpg,2593.jpg,2 Points,2 Points,20 Points,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.97083866699995,p,0.058564499999192776,78.13942191699971,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2598.jpg,2605.jpg,0 Points,0 Points,20 Points,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.33701341699998,p,0.3972447079995618,82.8056633340002,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
L005.jpg,O011.jpg,1 Points,1 Points,21 Points,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0467773750006,p,0.07325854199916648,87.23765612500029,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
8186.jpg,F078.jpg,2 Points,2 Points,23 Points,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.43108233400017,p,0.06235987399941223,91.60111700000016,2,1.2424577909996515,102.9163801249997,space,2.7520002079991173,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.572469457999432,,,,,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
7284.jpg,8021.jpg,4 Points,4 Points,4 Points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,118.86257891700006,p,0.45340679099899717,119.3725864170001,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2214.jpg,4500.jpg,3 Points,3 Points,7 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,123.613819917,p,0.0065928329995585955,123.67538000000059,3,0.3020830830000705,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
1280.jpg,9402.jpg,2 Points,2 Points,9 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,128.27444833400023,p,0.00480133299879526,128.31520520899994,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
1650.jpg,2130.jpg,1 Points,1 Points,10 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,132.59092491699994,p,0.08957199999986187,132.72142304200042,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2221.jpg,2270.jpg,2 Points,2 Points,12 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,136.99893720900036,p,0.05365674999939074,137.09987224999986,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9373.jpg,9410.jpg,0 Points,0 Points,12 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,141.3575742920002,p,0.20197799999914423,141.60073575000024,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4250.jpg,7060.jpg,5 Points,5 Points,17 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,145.8659347089997,p,0.27285712499906367,146.19006333400011,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
5130.jpg,1810.jpg,3 Points,3 Points,20 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,150.43703350000033,p,0.3431258329992488,150.8450998340004,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6370.jpg,1270.jpg,4 Points,4 Points,24 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,155.099524792,p,0.1806597499999043,155.333371834,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
5480.jpg,8200.jpg,4 Points,4 Points,28 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,159.58384600000045,p,0.031226623999828007,159.67220420900048,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2520.jpg,8503.jpg,2 Points,2 Points,30 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,163.92532762500014,p,0.02091749899864226,163.9910947090002,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
5971.jpg,9912.jpg,5 Points,5 Points,35 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,168.25754183400022,p,0.1912448739985848,168.4910540840001,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
7195.jpg,2487.jpg,2 Points,2 Points,37 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,172.76563145900036,p,0.018630165999638848,172.82546916699994,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6840.jpg,3080.jpg,1 Points,1 Points,38 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,177.07881345900023,p,0.5231808749995253,177.64247566700033,1,1.1175611249991562,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
5510.jpg,2514.jpg,5 Points,5 Points,43 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,183.06081666699993,p,0.03461083299953316,183.1397913339997,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
7170.jpg,2170.jpg,2 Points,2 Points,45 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,187.42168262500036,p,0.02209666599992488,187.4894588750003,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6020.jpg,6300.jpg,2 Points,2 Points,47 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,191.75391829199998,p,0.2541499989993099,192.0444541249999,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
1942.jpg,2890.jpg,1 Points,1 Points,48 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,196.2976777920003,p,0.46885241600011796,196.80325270899993,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6241.jpg,9561.jpg,3 Points,3 Points,51 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,201.06760195900006,p,0.43683120799960307,201.55767537500014,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4536.jpg,2280.jpg,4 Points,4 Points,55 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,205.81700524999997,p,0.1432224159989346,206.00458070900004,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6000.jpg,6836.jpg,4 Points,4 Points,59 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,210.25693737500023,p,0.2511063739993915,210.55250970900033,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
8232.jpg,4279.jpg,5 Points,5 Points,64 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,214.82697162499971,p,0.17285995799920784,215.0575051249998,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2312.jpg,2722.jpg,1 Points,1 Points,65 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,219.30597812500037,p,0.16972408299989183,219.5180959170002,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2750.jpg,9050.jpg,4 Points,4 Points,69 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,223.7667722920005,p,0.09608620800008794,223.91759420900053,,,234.27306783400036,space,3.3455076249993,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
1113.jpg,1240.jpg,3 Points,3 Points,72 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,240.93010758400033,p,1.1115746669993314,242.0962275840002,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
8220.jpg,2410.jpg,4 Points,4 Points,76 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,246.3492093750001,p,0.2606355829993845,246.65429783400032,4,0.31722862500009796,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4621.jpg,3550.jpg,2 Points,2 Points,78 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,251.2610683339999,p,0.21091516700016655,251.5072130839999,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2751.jpg,6313.jpg,3 Points,3 Points,81 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,255.77279683400047,p,0.8847820829996635,256.69856591700045,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4689.jpg,7009.jpg,5 Points,5 Points,86 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,260.9571320840005,p,0.7037630830000126,261.7087097089998,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6831.jpg,2141.jpg,5 Points,5 Points,91 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,265.9656279589999,p,0.5053647079994334,266.5084447090003,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9417.jpg,6530.jpg,1 Point,1 Point,92 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,270.76390554200043,p,0.7763068749991362,271.5846002919998,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
7237.jpg,8510.jpg,4 Points,4 Points,96 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,275.8308844590001,p,0.4067744579988357,276.2832845840003,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4608.jpg,8320.jpg,1 Point,1 Point,97 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,280.5342067920001,p,0.017527748998872994,280.5930994170003,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9254.jpg,9290.jpg,2 Points,2 Points,99 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,284.8541839999998,p,0.32574395799929334,285.2261225000002,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9530.jpg,9220.jpg,1 Point,1 Point,100 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,289.5073188340002,p,0.6969687079990763,290.23434258399993,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2092.jpg,2210.jpg,0 Points,0 Points,100 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,294.49485570900015,p,0.6653162909997263,295.1977544170004,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9500.jpg,6360.jpg,1 Point,1 Point,101 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,299.46201999999994,p,0.048149415999432676,299.54651591699985,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2220.jpg,2010.jpg,5 Points,5 Points,106 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,303.8050773340001,p,0.03740499999912572,303.9007851670003,5,0.3770542909996948,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
5940.jpg,9411.jpg,0 Points,0 Points,106 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,308.58689825000056,p,0.09513479099950928,308.73585845900016,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
4533.jpg,2385.jpg,3 Points,3 Points,109 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,312.990558167,p,0.04277295799965941,313.0763526669998,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
9340.jpg,6910.jpg,0 Points,0 Points,109 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,,,317.3368882499999,p,0.006542457998875761,317.39425666700026,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
8350.jpg,7190.jpg,5 Points,5 Points,114 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,,,,,321.6547006669998,p,0.0504045829993629,321.75124045899975,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
6211.jpg,9611.jpg,3 Points,3 Points,117 points ,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,,,,,326.0090042090005,p,0.2746411250000165,326.3195405000006,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2053.jpg,9415.jpg,4 Points,4 Points,121 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,,,330.57916670899976,p,0.03139445800024987,330.6501570420005,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2110.jpg,7260.jpg,5 Points,5 Points,126 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,,,,,334.91120041700015,p,0.37037866599985136,335.3219533749998,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
2030.jpg,2495.jpg,0 Points,0 Points,126 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,,,,,339.58194425000056,p,0.017429707999326638,339.6435767089997,,,,,,00004,B,2024-06-20_14h43.49.043,EPIDM,2022.2.5,None,
